player_id,best_position,first_position,second_position,third_position,w_f,sm,level_a_w,level_d_w
302,CAM,LM,NP,NP,3,4,3,1
303,CAM,CM,NP,NP,4,4,3,2
304,CB,CB,NP,NP,2,2,2,3
305,CAM,CAM,CM,LW,4,4,3,2
306,RM,RM,RW,ST,4,4,3,2
307,CM,CM,NP,NP,5,4,2,2
308,ST,ST,RW,NP,2,4,3,2
309,RB,RB,NP,NP,3,3,3,3
310,CM,CM,CAM,NP,2,4,3,2
311,CAM,CF,ST,CAM,4,4,3,2
312,GK,GK,NP,NP,2,1,2,2
313,CAM,LM,CAM,RM,3,4,2,2
314,GK,GK,NP,NP,3,1,2,2
315,ST,ST,NP,NP,3,3,3,2
316,LWB,LWB,NP,NP,3,3,3,3
317,CM,CM,CDM,NP,3,3,2,2
318,CM,CDM,CM,NP,4,4,3,3
319,CDM,CDM,CM,NP,3,3,2,3
320,ST,ST,NP,NP,4,3,3,2
321,LB,LB,NP,NP,2,3,2,2
322,GK,GK,NP,NP,2,1,2,2
323,ST,ST,NP,NP,3,3,3,2
324,GK,GK,NP,NP,3,1,2,2
325,CB,CB,NP,NP,3,2,2,3
326,ST,ST,NP,NP,3,4,2,2
327,GK,GK,NP,NP,5,1,2,2
328,LWB,LB,NP,NP,3,3,3,1
329,CB,CB,NP,NP,3,2,2,3
330,ST,ST,LM,NP,4,4,3,1
331,RB,RB,NP,NP,3,3,3,2
332,RB,RB,NP,NP,3,4,3,3
333,CAM,RW,CAM,NP,3,4,3,2
334,RB,RB,RM,NP,4,3,3,2
335,LM,LM,CAM,NP,4,4,3,2
336,RWB,RWB,RB,NP,4,3,3,2
337,LB,LB,NP,NP,3,4,3,2
338,ST,ST,RW,LW,4,3,3,3
339,ST,ST,NP,NP,4,3,2,1
340,CAM,RW,NP,NP,3,4,2,2
341,GK,GK,NP,NP,3,1,2,2
342,GK,GK,NP,NP,4,1,2,2
343,RW,RW,CAM,NP,4,4,3,2
344,CAM,CAM,NP,NP,4,4,3,2
345,CB,CB,NP,NP,3,2,2,2
346,CM,CM,CDM,CAM,4,3,3,3
347,RM,RM,NP,NP,4,5,2,2
348,CB,CDM,CM,NP,4,3,1,3
349,RW,RB,RM,RW,3,5,3,2
350,LB,LB,LWB,NP,3,3,3,1
351,CAM,CAM,CM,NP,4,4,3,2
352,RM,RM,RW,NP,4,5,3,2
353,LM,LM,CAM,NP,3,4,2,2
354,RM,RM,CAM,NP,3,5,2,2
355,CAM,CAM,ST,NP,4,4,3,2
356,CM,CM,CDM,NP,4,2,2,2
357,CB,CDM,CB,NP,3,2,1,2
358,CB,CB,CDM,NP,4,2,2,3
359,CB,CB,NP,NP,3,2,2,2
360,GK,GK,NP,NP,3,1,2,2
361,CM,CM,CDM,CAM,5,4,3,2
362,GK,GK,NP,NP,3,1,2,2
363,GK,GK,NP,NP,2,1,2,2
364,GK,GK,NP,NP,3,1,2,2
365,CAM,CF,LM,LW,5,5,2,2
366,CM,CM,NP,NP,4,3,3,3
367,ST,ST,CF,NP,3,3,2,2
368,CB,CB,NP,NP,3,2,2,3
369,CAM,CM,CAM,NP,4,4,3,2
370,ST,ST,NP,NP,4,4,3,2
371,CAM,CAM,RM,NP,4,4,2,1
372,CB,CB,NP,NP,3,2,2,2
373,LB,LB,LM,NP,4,4,2,2
374,ST,ST,CF,NP,3,3,3,1
375,CAM,CAM,LM,LW,5,4,2,2
376,CDM,CDM,CM,NP,4,3,3,3
377,CB,CB,CDM,NP,3,2,3,2
378,GK,GK,NP,NP,2,1,2,2
379,CAM,RM,NP,NP,4,4,3,2
380,GK,GK,NP,NP,3,1,2,2
381,CAM,CAM,NP,NP,5,3,3,2
382,CB,CB,RB,NP,2,2,2,3
383,ST,ST,NP,NP,3,3,3,1
384,RM,LW,NP,NP,4,5,3,2
385,CAM,LW,RW,CAM,3,5,2,2
386,CAM,CM,CDM,NP,3,4,2,2
387,GK,GK,NP,NP,3,1,2,2
388,CAM,CAM,CM,LW,4,3,3,2
389,CDM,CDM,CM,NP,3,3,2,2
390,LB,LB,NP,NP,3,3,3,2
391,ST,ST,NP,NP,5,3,2,2
392,CAM,CAM,ST,NP,3,4,2,2
393,CB,CB,NP,NP,4,2,2,2
394,GK,GK,NP,NP,2,1,2,2
395,CB,CB,NP,NP,3,2,2,2
396,CAM,CAM,LM,LW,5,4,2,2
397,GK,GK,NP,NP,3,1,2,2
398,RB,RB,RM,NP,3,3,3,2
399,CAM,LM,RM,NP,4,4,3,1
400,CB,CB,NP,NP,3,2,3,2
401,ST,LW,ST,NP,2,3,3,2
402,CB,CB,NP,NP,3,2,2,2
403,CM,LB,NP,NP,3,3,3,2
404,GK,GK,NP,NP,4,1,2,2
405,RM,RM,RW,NP,3,5,3,3
406,CB,RB,CB,RWB,3,3,2,2
407,CAM,CM,NP,NP,3,3,2,2
408,CAM,LW,ST,CM,5,4,3,3
409,CM,CM,CAM,NP,3,3,2,3
410,CM,CM,CDM,NP,4,3,2,3
411,RB,RB,NP,NP,3,3,3,3
412,CM,CM,CAM,NP,3,4,3,2
413,CB,CB,RB,RWB,3,2,2,2
414,CAM,RW,ST,LW,3,4,3,1
415,CDM,CB,NP,NP,4,3,2,3
416,CM,LB,NP,NP,3,4,3,2
417,CDM,CDM,NP,NP,3,4,3,3
418,CM,CM,CDM,NP,3,3,3,2
419,CAM,LM,LW,ST,4,5,3,1
420,GK,GK,NP,NP,3,1,2,2
421,GK,GK,NP,NP,3,1,2,2
422,CDM,CDM,NP,NP,4,3,2,3
423,CM,CM,CAM,LM,4,4,2,2
424,CAM,CAM,RM,NP,3,5,3,2
425,CAM,CM,NP,NP,4,4,2,2
426,CB,CB,NP,NP,3,2,1,2
427,RB,RB,LB,NP,3,4,3,1
428,CAM,RM,RW,NP,3,4,2,2
429,CAM,RM,CAM,CM,3,4,3,3
430,CAM,CM,LM,NP,5,4,2,2
431,RW,RW,NP,NP,4,4,3,3
432,ST,ST,NP,NP,5,3,3,3
433,CAM,RW,RM,NP,4,4,2,1
434,CDM,CDM,CM,NP,4,3,2,2
435,CAM,LW,CAM,CM,3,4,2,2
436,ST,ST,LW,NP,3,4,3,2
437,LB,LB,LWB,NP,3,3,2,3
438,CB,CB,NP,NP,3,2,2,2
439,CB,CB,NP,NP,3,2,2,2
440,RB,RB,NP,NP,3,3,3,2
441,RB,RB,NP,NP,3,3,3,2
442,RB,RB,RWB,NP,2,3,3,1
443,RWB,RWB,RB,RM,2,3,3,3
444,CB,CB,NP,NP,4,3,3,2
445,CB,CB,NP,NP,4,2,2,2
446,CB,CB,NP,NP,4,2,2,3
447,LB,LB,LM,NP,3,3,3,2
448,RW,LM,CF,NP,4,4,3,1
449,CAM,CAM,CM,LW,5,4,2,2
450,CB,CB,NP,NP,3,2,3,2
451,GK,GK,NP,NP,3,1,2,2
452,CB,CB,LB,RB,4,2,2,3
453,LB,LB,LM,LWB,2,3,3,2
454,CM,CM,LM,CDM,3,4,2,2
455,CDM,CDM,CM,NP,3,3,1,2
456,GK,GK,NP,NP,4,1,2,2
457,ST,ST,NP,NP,3,4,2,2
458,CB,CB,CDM,NP,3,3,3,2
459,RB,RB,RWB,NP,3,3,3,2
460,CDM,CDM,CM,NP,3,3,3,3
461,CDM,CDM,CM,NP,4,3,2,3
462,ST,ST,NP,NP,4,3,3,3
463,ST,ST,NP,NP,4,4,2,1
464,RB,RB,NP,NP,3,3,2,3
465,RM,RM,CAM,RW,5,4,3,2
466,RB,RB,NP,NP,3,3,3,2
467,LB,LB,LM,NP,2,3,2,2
468,CF,CF,CAM,ST,4,4,3,2
469,CDM,CDM,CM,NP,3,3,2,2
470,CDM,CDM,CM,NP,3,3,3,3
471,CDM,CDM,CM,NP,3,3,2,3
472,CAM,CAM,LW,NP,4,4,3,1
473,ST,ST,NP,NP,5,2,2,3
474,GK,GK,NP,NP,3,1,2,2
475,RW,RW,LW,NP,5,4,3,3
476,LW,RW,ST,NP,3,4,3,1
477,CDM,CM,CDM,NP,3,3,2,3
478,CM,CM,NP,NP,3,4,3,2
479,CB,CB,NP,NP,3,2,2,2
480,CAM,CAM,ST,NP,4,4,2,2
481,CDM,CDM,CB,NP,3,3,2,3
482,CAM,CAM,NP,NP,3,4,3,2
483,LW,LW,LM,NP,3,4,3,3
484,CAM,CAM,CF,NP,4,4,3,2
485,CB,CB,NP,NP,3,3,2,2
486,ST,ST,NP,NP,4,2,3,2
487,CB,CB,NP,NP,3,2,1,3
488,CB,CB,RB,NP,3,2,3,2
489,GK,GK,NP,NP,2,1,2,2
490,LB,LB,NP,NP,3,3,2,2
491,CB,CB,RB,NP,4,2,3,2
492,GK,GK,NP,NP,3,1,2,2
493,RB,RB,RM,CM,3,3,3,2
494,CM,ST,CAM,RW,3,3,2,2
495,RM,RM,CAM,NP,2,4,3,3
496,CB,CB,NP,NP,4,2,2,3
497,CB,CB,NP,NP,3,3,2,2
498,ST,ST,NP,NP,4,3,3,2
499,CM,CM,CAM,CDM,2,4,3,3
500,CF,ST,NP,NP,4,4,2,2
501,ST,ST,NP,NP,3,3,3,1
502,GK,GK,NP,NP,3,1,2,2
503,LW,LW,RW,NP,5,5,3,2
504,CDM,CM,RB,LB,4,3,3,3
505,CAM,LM,RM,NP,3,4,3,2
506,CAM,RM,CAM,NP,2,4,2,1
507,GK,GK,NP,NP,3,1,2,2
508,CDM,CDM,CM,CAM,4,2,3,2
509,RB,RB,RM,NP,3,3,3,2
510,LB,LB,LM,NP,3,4,3,2
511,ST,ST,NP,NP,3,3,3,2
512,CAM,CAM,LM,RM,4,4,3,2
513,RM,RW,LW,NP,3,4,2,2
514,ST,ST,NP,NP,4,3,3,2
515,GK,GK,NP,NP,2,1,2,2
516,CB,CB,NP,NP,3,2,2,2
517,LB,LB,LM,NP,3,3,2,2
518,RM,RB,RW,NP,5,4,3,2
519,CDM,CDM,CM,NP,3,3,3,3
520,CB,CB,NP,NP,3,2,2,3
521,LB,LB,LWB,NP,3,2,3,2
522,CAM,CAM,CM,NP,3,4,2,2
523,CAM,LM,CM,NP,4,4,2,2
524,CM,CDM,CM,NP,3,3,3,3
525,CDM,CDM,CB,NP,3,3,1,3
526,CAM,CM,NP,NP,4,3,2,2
527,CAM,LW,CAM,NP,4,3,3,2
528,GK,GK,NP,NP,2,1,2,2
529,CAM,RM,CAM,NP,3,4,3,2
530,CDM,CDM,CM,NP,3,2,1,3
531,CAM,RM,LM,CM,4,3,2,2
532,RB,RB,NP,NP,3,3,3,2
533,CDM,CDM,CM,CB,3,3,2,2
534,ST,ST,NP,NP,5,4,3,1
535,CB,RB,NP,NP,3,2,3,3
536,ST,ST,NP,NP,4,3,3,3
537,CM,CM,CF,NP,4,4,3,3
538,CF,ST,NP,NP,4,4,3,2
539,GK,GK,NP,NP,3,1,2,2
540,CB,CDM,NP,NP,3,2,2,2
541,CDM,CDM,CM,NP,4,2,3,3
542,RB,RB,NP,NP,3,2,2,2
543,LB,LB,LM,NP,3,4,3,2
544,CB,CB,NP,NP,3,2,2,2
545,CAM,CF,LW,RW,4,4,3,2
546,ST,ST,NP,NP,3,4,2,2
547,ST,ST,NP,NP,4,3,3,2
548,ST,ST,RM,NP,5,3,3,3
549,CAM,CAM,CM,CDM,3,3,2,2
550,CDM,CDM,CM,NP,3,3,2,3
551,ST,ST,RM,NP,3,3,3,2
552,CM,CM,NP,NP,4,4,2,2
553,CAM,LM,CAM,RM,3,4,3,3
554,RM,CM,CAM,NP,4,4,3,2
555,CB,CB,NP,NP,3,3,2,3
556,CB,CB,NP,NP,3,2,1,3
557,CM,CM,CDM,CAM,4,4,2,2
558,RM,LW,RW,LM,3,4,3,2
559,CB,LB,CB,NP,3,3,2,2
560,ST,ST,NP,NP,3,3,3,2
561,ST,ST,NP,NP,3,3,3,2
562,CDM,CDM,CM,NP,3,3,2,2
563,CM,CDM,CM,NP,3,3,2,3
564,CDM,CDM,CM,CB,3,3,2,2
565,ST,ST,NP,NP,3,3,3,2
566,ST,ST,RW,LW,3,4,3,1
567,CB,CB,NP,NP,3,2,2,3
568,RB,RB,NP,NP,3,2,2,2
569,ST,ST,CAM,NP,4,4,3,2
570,CDM,CDM,CM,NP,3,3,2,2
571,CDM,CDM,CM,NP,2,3,2,2
572,RB,RB,RWB,NP,3,3,3,2
573,RWB,RB,NP,NP,4,3,2,2
574,ST,ST,NP,NP,4,3,3,2
575,ST,ST,LM,RM,4,4,3,2
576,CDM,CM,CDM,NP,3,3,1,3
577,CB,CB,NP,NP,4,2,2,2
578,RW,RW,RM,NP,4,4,3,3
579,RM,LB,LWB,NP,5,3,3,2
580,ST,ST,NP,NP,5,3,3,1
581,CDM,CDM,CM,NP,3,3,2,3
582,CAM,CAM,ST,NP,2,3,3,2
583,LB,LB,NP,NP,3,3,3,2
584,RM,RW,RWB,NP,2,4,3,1
585,ST,ST,NP,NP,3,3,2,1
586,CB,CB,NP,NP,3,2,1,2
587,CAM,LW,RW,NP,3,3,2,2
588,CB,CB,NP,NP,4,2,2,2
589,GK,GK,NP,NP,2,1,2,2
590,LB,LB,LM,NP,3,3,3,2
591,CM,CM,CDM,NP,4,4,2,2
592,GK,GK,NP,NP,2,1,2,2
593,RM,RM,RWB,RB,3,4,3,3
594,LM,LM,ST,CAM,2,4,3,2
595,CM,CM,CAM,NP,4,4,3,3
596,LWB,LB,NP,NP,2,3,3,2
597,RB,RB,NP,NP,3,3,3,2
598,CAM,RM,LM,NP,2,4,2,3
599,GK,GK,NP,NP,3,1,2,2
600,CB,CB,NP,NP,3,2,2,3
601,CDM,CDM,CM,NP,5,3,1,2
602,ST,ST,NP,NP,4,4,2,2
603,CAM,CAM,CM,NP,4,4,2,2
604,CM,CM,CDM,NP,5,3,2,3
605,CAM,LW,CM,NP,4,4,2,2
606,GK,GK,NP,NP,3,1,2,2
607,LM,LM,NP,NP,4,3,3,2
608,CM,CM,CDM,NP,4,4,2,2
609,CM,CDM,CM,NP,2,3,3,2
610,CDM,CDM,NP,NP,3,3,2,3
611,CDM,CDM,CM,NP,2,2,2,3
612,CM,CM,NP,NP,3,3,3,3
613,CB,CB,NP,NP,3,2,2,3
614,LB,LB,NP,NP,3,3,3,2
615,RB,RB,RWB,LB,3,3,3,2
