player_id,skill,dribbling,curve,fk_accuracy,long_passing,ball_control
186,300,69,63,22,74,72
187,119,22,34,14,35,14
188,387,84,74,74,70,85
189,107,14,20,13,37,23
190,220,54,30,10,61,65
191,89,10,11,15,33,20
192,394,87,82,69,70,86
193,432,89,90,86,78,89
194,72,10,14,12,12,24
195,404,81,77,78,85,83
196,382,82,66,75,76,83
197,416,84,85,74,85,88
198,404,74,86,82,79,83
199,345,71,65,53,78,78
200,359,72,80,55,72,80
201,382,76,76,68,80,82
202,352,76,65,54,72,85
203,415,83,83,81,84,84
204,390,83,73,68,82,84
205,408,89,84,67,77,91
206,419,80,90,87,79,83
207,356,70,66,70,73,77
208,342,76,60,52,77,77
209,390,84,84,71,66,85
210,409,82,80,83,83,81
211,359,80,74,62,60,83
212,107,19,13,12,36,27
213,419,82,84,81,86,86
214,397,80,80,78,73,86
215,339,78,70,43,67,81
216,72,12,10,14,17,19
217,281,56,45,49,61,70
218,73,9,9,18,16,21
219,385,85,75,59,81,85
220,413,85,82,77,83,86
221,378,82,73,58,82,83
222,391,85,79,79,67,81
223,354,79,70,47,79,79
224,414,76,85,84,87,82
225,102,16,23,11,33,19
226,362,78,70,58,77,79
227,409,84,83,76,80,86
228,305,65,59,39,63,79
229,289,50,51,48,69,71
230,377,86,79,74,53,85
231,103,22,14,16,27,24
232,91,14,19,20,23,15
233,386,87,82,65,65,87
234,421,82,86,87,82,84
235,362,71,77,75,64,75
236,97,13,20,20,29,15
237,388,83,75,76,73,81
238,401,86,81,79,73,82
239,385,82,77,64,83,79
240,292,61,44,42,71,74
241,139,10,25,19,52,33
242,385,84,80,65,72,84
243,398,82,84,72,76,84
244,105,14,17,16,38,20
245,99,15,13,12,35,24
246,319,71,44,46,82,76
247,358,86,71,58,59,84
248,306,60,57,46,74,69
249,337,83,76,44,51,83
250,109,24,16,15,34,20
251,340,75,54,53,80,78
252,432,86,89,86,81,90
253,371,81,83,67,58,82
254,101,19,15,13,31,23
255,109,19,12,13,41,24
256,84,19,12,11,25,17
257,335,80,66,39,71,79
258,103,12,16,16,37,22
259,388,75,84,62,83,84
260,412,83,82,81,82,84
261,380,81,70,66,80,83
262,407,80,85,88,77,77
263,386,78,79,72,74,83
264,302,64,53,31,84,70
265,123,25,14,10,47,27
266,380,79,73,75,74,79
267,414,88,83,84,77,82
268,113,15,23,22,39,14
269,317,71,49,47,74,76
270,419,86,85,82,81,85
271,411,82,84,75,82,88
272,416,78,88,82,86,82
273,300,59,53,45,72,71
274,122,26,20,13,35,28
275,375,81,81,57,75,81
276,378,83,81,64,67,83
277,347,87,66,41,73,80
278,358,82,71,48,78,79
279,250,57,33,26,72,62
280,364,79,78,48,79,80
281,342,74,63,53,76,76
282,364,82,68,58,75,81
283,400,85,80,70,80,85
284,333,85,67,44,58,79
285,383,84,81,72,66,80
286,364,84,74,65,61,80
287,323,78,59,49,60,77
288,389,84,70,67,83,85
289,361,77,83,52,71,78
290,322,75,59,67,47,74
291,342,77,54,57,78,76
292,356,77,70,66,71,72
293,312,60,72,58,58,64
294,363,78,67,67,70,81
295,355,86,69,58,59,83
296,86,8,20,9,40,9
297,338,68,63,51,79,77
298,295,60,50,32,75,78
299,378,83,76,70,69,80
300,373,77,70,72,75,79
301,269,65,40,37,48,79
302,367,87,76,56,67,81
303,385,87,64,70,76,88
304,258,63,30,27,67,71
305,416,81,85,84,82,84
306,399,83,79,77,76,84
307,402,78,81,78,82,83
308,352,81,76,53,66,76
309,361,78,80,58,67,78
310,402,83,83,78,77,81
311,392,88,81,63,74,86
312,92,15,19,17,27,14
313,410,84,85,81,75,85
314,90,13,17,13,24,23
315,310,75,69,41,48,77
316,337,76,66,54,64,77
317,373,78,73,59,79,84
318,395,82,75,74,81,83
319,331,71,61,48,75,76
320,335,76,68,57,55,79
321,356,78,76,54,69,79
322,106,16,14,15,38,23
323,305,74,57,46,48,80
324,82,13,11,12,25,21
325,292,60,35,56,72,69
326,377,76,74,84,62,81
327,144,14,18,16,56,40
328,350,79,80,44,69,78
329,245,47,34,28,69,67
330,386,82,74,78,69,83
331,324,74,47,54,72,77
332,381,77,73,78,75,78
333,418,87,87,81,75,88
334,358,75,74,56,74,79
335,393,87,77,69,76,84
336,330,74,63,45,69,79
337,346,83,65,50,67,81
338,389,79,79,80,72,79
339,381,78,85,85,51,82
340,410,81,86,76,82,85
341,99,12,10,10,35,32
342,121,17,21,20,38,25
343,404,84,84,74,78,84
344,401,85,77,79,82,78
345,260,64,39,19,70,68
346,402,85,80,75,78,84
347,417,84,88,84,79,82
348,367,74,71,68,79,75
349,391,90,78,69,69,85
350,403,78,85,86,71,83
351,405,84,81,72,81,87
352,379,86,79,64,66,84
353,379,87,58,74,75,85
354,402,87,82,72,73,88
355,397,82,82,69,80,84
356,367,80,64,60,81,82
357,299,61,46,45,75,72
358,251,58,33,30,70,60
359,262,54,39,37,68,64
360,102,14,16,12,34,26
361,398,81,80,70,82,85
362,90,12,17,12,34,15
363,98,14,18,12,32,22
364,90,10,15,15,27,23
365,415,87,83,81,77,87
366,361,76,67,63,77,78
367,369,76,77,70,70,76
368,284,58,44,47,73,62
369,408,85,80,70,83,90
370,296,75,53,52,40,76
371,403,79,86,78,82,78
372,283,56,45,49,61,72
373,361,77,83,52,71,78
374,320,74,59,67,47,73
375,375,82,56,75,80,82
376,348,75,48,73,75,77
377,312,60,72,58,58,64
378,73,9,9,18,16,21
379,382,80,72,76,73,81
380,126,19,12,11,56,28
381,365,85,66,58,77,79
382,310,70,60,40,69,71
383,345,72,75,57,64,77
384,379,88,77,62,67,85
385,362,86,70,52,69,85
386,394,88,74,65,81,86
387,108,13,13,10,40,32
388,396,79,79,82,74,82
389,339,69,66,46,79,79
390,342,79,63,64,60,76
391,342,80,77,46,58,81
392,404,86,81,76,77,84
393,278,65,39,39,64,71
394,83,12,20,14,21,16
395,286,47,33,72,66,68
396,375,82,56,75,80,82
397,92,14,15,13,30,20
398,334,78,55,49,75,77
399,385,84,77,79,65,80
400,341,66,68,55,76,76
401,319,85,66,30,59,79
402,302,53,56,50,70,73
403,393,79,80,74,78,82
404,102,19,14,17,29,23
405,365,87,82,60,55,81
406,319,73,69,33,70,74
407,387,83,75,69,78,82
408,370,84,76,58,68,84
409,386,83,75,67,78,83
410,387,79,76,69,81,82
411,315,76,65,33,70,71
412,388,83,77,63,80,85
413,274,71,45,22,63,73
414,363,81,72,65,65,80
415,348,71,64,59,78,76
416,400,82,83,76,78,81
417,365,82,64,58,78,83
418,381,76,66,73,84,82
419,371,91,73,58,66,83
420,88,16,16,12,24,20
421,114,19,15,16,29,35
422,380,76,70,76,79,79
423,389,84,74,67,79,85
424,401,84,82,80,71,84
425,416,85,85,81,80,85
426,264,64,45,25,65,65
427,344,82,59,56,66,81
428,395,81,76,74,79,85
429,398,86,80,72,75,85
430,395,85,80,65,80,85
431,389,81,82,71,75,80
432,315,78,64,56,42,75
433,392,86,80,70,74,82
434,356,72,80,50,80,74
435,394,85,76,74,77,82
436,384,79,83,74,68,80
437,343,75,72,48,70,78
438,330,53,72,51,83,71
439,296,50,60,59,64,63
440,350,74,70,57,70,79
441,366,74,74,70,72,76
442,326,77,63,50,59,77
443,331,76,57,52,69,77
444,300,69,47,29,75,80
445,288,63,46,35,74,70
446,309,61,54,53,73,68
447,364,80,75,56,72,81
448,394,87,84,77,62,84
449,397,83,77,76,77,84
450,324,54,58,66,81,65
451,94,11,20,19,21,23
452,288,59,55,37,61,76
453,323,75,59,42,73,74
454,405,80,82,78,81,84
455,384,66,76,77,85,80
456,117,13,23,12,45,24
457,344,77,72,54,66,75
458,344,70,66,51,79,78
459,323,76,69,30,69,79
460,344,70,52,62,81,79
461,365,77,69,63,77,79
462,319,79,65,36,61,78
463,333,76,68,60,50,79
464,349,75,78,42,75,79
465,387,83,82,66,73,83
466,343,73,73,54,69,74
467,360,68,69,69,77,77
468,377,78,70,72,74,83
469,375,78,70,67,82,78
470,342,75,68,46,77,76
471,382,78,76,68,80,80
472,412,85,80,85,77,85
473,337,66,63,69,62,77
474,125,16,32,20,33,24
475,372,82,81,57,71,81
476,395,85,78,81,74,77
477,349,80,68,41,80,80
478,404,83,78,78,80,85
479,275,68,37,28,70,72
480,379,78,77,69,72,83
481,323,68,42,64,76,73
482,377,80,67,71,77,82
483,400,85,79,78,74,84
484,424,85,89,91,74,85
485,369,68,70,72,80,79
486,330,75,65,59,52,79
487,306,46,52,69,69,70
488,318,58,70,48,76,66
489,93,12,11,12,43,15
490,346,73,74,52,70,77
491,344,71,80,47,72,74
492,124,12,12,13,47,40
493,401,76,80,84,81,80
494,392,80,78,68,82,84
495,409,85,84,81,76,83
496,249,42,34,37,65,71
497,288,67,32,39,74,76
498,367,73,81,72,60,81
499,376,89,65,55,79,88
500,391,79,78,77,73,84
501,327,78,61,62,46,80
502,91,15,19,13,22,22
503,415,86,86,80,77,86
504,394,77,81,75,81,80
505,409,83,86,77,82,81
506,416,88,88,80,72,88
507,75,18,12,13,12,20
508,339,77,54,57,75,76
509,332,78,55,49,75,75
510,312,76,54,49,59,74
511,303,77,65,36,47,78
512,390,83,72,75,77,83
513,374,84,80,73,57,80
514,276,78,53,35,33,77
515,75,8,14,10,25,18
516,272,67,42,26,66,71
517,327,74,65,43,69,76
518,354,83,69,51,71,80
519,357,70,63,72,76,76
520,239,51,37,25,74,52
521,302,72,59,36,62,73
522,362,78,68,57,76,83
523,417,82,89,91,74,81
524,359,77,70,55,79,78
525,331,67,64,43,79,78
526,357,81,73,41,79,83
527,360,81,70,64,65,80
528,73,13,13,14,22,11
529,379,83,78,72,65,81
530,305,68,55,32,74,76
531,384,78,69,82,76,79
532,322,76,69,30,70,77
533,363,70,73,65,79,76
534,318,78,67,45,47,81
535,300,71,50,40,65,74
536,309,70,63,48,53,75
537,417,81,85,88,81,82
538,358,82,79,60,56,81
539,75,18,12,13,12,20
540,350,72,64,68,72,74
541,348,75,48,73,75,77
542,319,68,56,58,63,74
543,312,76,54,49,59,74
544,266,68,32,28,73,65
545,382,85,78,69,69,81
546,321,80,69,33,59,80
547,360,78,73,70,60,79
548,333,79,58,57,62,77
549,378,77,70,69,81,81
550,353,77,68,50,79,79
551,277,64,58,37,52,66
552,384,84,68,68,79,85
553,380,79,70,70,78,83
554,399,84,80,79,74,82
555,268,60,46,43,57,62
556,268,59,28,31,81,69
557,404,79,83,81,81,80
558,376,78,78,76,68,76
559,347,74,67,62,65,79
560,302,73,51,36,65,77
561,312,79,55,48,51,79
562,339,76,58,49,78,78
563,384,81,73,68,80,82
564,342,74,63,46,81,78
565,314,76,64,54,44,76
566,375,82,81,67,62,83
567,277,67,43,29,68,70
568,294,60,62,41,58,73
569,360,80,76,66,57,81
570,315,77,51,37,73,77
571,343,76,48,59,79,81
572,334,76,71,38,73,76
573,358,74,76,56,75,77
574,312,74,80,35,45,78
575,387,86,82,68,68,83
576,350,72,61,57,80,80
577,240,62,26,26,60,66
578,352,83,78,60,51,80
579,367,81,79,61,67,79
580,351,75,69,60,69,78
581,262,66,31,31,65,69
582,390,81,74,78,77,80
583,324,80,68,34,66,76
584,338,92,67,42,54,83
585,357,74,75,72,60,76
586,264,66,32,22,71,73
587,380,82,78,70,69,81
588,239,55,30,27,63,64
589,90,17,12,21,20,20
590,378,73,80,74,74,77
591,390,78,81,67,82,82
592,95,18,13,15,25,24
593,380,81,77,69,72,81
594,390,79,74,78,79,80
595,383,78,76,68,82,79
596,349,79,53,71,66,80
597,323,72,64,48,65,74
598,391,82,78,75,74,82
599,107,18,19,20,26,24
600,337,69,62,59,73,74
601,365,76,61,65,83,80
602,362,78,74,66,63,81
603,391,80,79,75,74,83
604,390,81,74,73,80,82
605,429,85,92,86,80,86
606,103,12,21,12,36,22
607,383,79,83,72,71,78
608,396,78,79,78,79,82
609,404,78,83,80,83,80
610,318,64,60,45,76,73
611,368,62,71,81,78,76
612,419,75,91,89,82,82
613,227,52,28,32,58,57
614,358,78,68,66,70,76
615,378,78,76,72,75,77
616,394,83,77,74,76,84
617,364,85,78,55,64,82
618,262,49,47,45,57,64
619,89,15,13,16,23,22
620,394,70,82,84,82,76
621,347,62,60,61,85,79
622,294,62,33,58,72,69
623,391,77,74,78,80,82
624,351,76,62,56,78,79
625,376,79,77,68,74,78
626,381,86,75,61,76,83
627,336,65,67,49,78,77
628,112,12,20,15,33,32
629,379,82,78,62,77,80
630,118,19,17,17,32,33
631,404,80,85,81,78,80
632,385,78,82,77,69,79
633,375,74,77,76,69,79
634,377,79,70,72,74,82
635,360,85,77,60,55,83
636,376,84,73,60,75,84
637,398,81,82,78,76,81
638,325,76,41,71,63,74
639,384,67,80,79,78,80
640,343,70,67,59,67,80
641,379,78,76,80,66,79
642,399,84,80,79,77,79
643,276,51,50,39,70,66
644,379,78,79,64,77,81
645,375,79,85,68,66,77
646,369,75,75,71,69,79
647,252,59,49,22,64,58
648,263,59,45,31,63,65
649,363,69,66,67,81,80
650,323,77,58,54,58,76
651,365,80,73,59,72,81
652,331,70,70,40,71,80
653,333,73,66,60,57,77
654,364,73,70,65,80,76
655,100,13,12,15,38,22
656,337,74,66,57,65,75
657,368,83,67,68,67,83
658,412,78,87,85,77,85
659,379,87,72,64,69,87
660,354,75,67,55,79,78
661,378,83,75,60,80,80
662,372,80,77,68,69,78
663,280,63,36,39,67,75
664,333,67,66,60,67,73
665,340,77,65,53,69,76
666,343,69,70,65,58,81
667,394,75,82,80,76,81
668,379,78,80,78,62,81
669,412,80,85,84,78,85
670,321,77,62,50,49,83
671,399,80,82,77,78,82
672,390,70,83,77,81,79
673,140,23,18,22,48,29
674,363,74,74,70,69,76
675,99,12,10,13,32,32
676,421,78,87,85,88,83
677,240,58,29,35,58,60
678,403,81,81,82,77,82
679,344,76,66,57,66,79
680,356,78,77,58,64,79
681,282,62,31,49,72,68
682,103,14,15,17,32,25
683,81,13,12,11,33,12
684,329,58,63,50,78,80
685,91,10,14,17,32,18
686,77,10,11,11,22,23
687,407,84,94,71,74,84
688,379,84,74,75,62,84
689,374,78,73,62,81,80
690,275,61,46,32,74,62
691,330,72,73,47,65,73
692,354,76,76,68,59,75
693,355,82,79,60,56,78
694,282,44,54,50,72,62
695,375,85,84,56,67,83
696,330,72,67,42,73,76
697,123,30,13,14,29,37
698,93,16,9,9,38,21
699,381,81,77,75,69,79
700,323,78,72,53,41,79
701,364,84,79,60,62,79
702,284,64,40,28,73,79
703,340,80,71,47,64,78
704,201,35,27,22,45,72
705,363,68,68,74,78,75
706,370,85,77,60,65,83
707,346,73,63,53,79,78
708,266,69,32,27,69,69
709,406,82,85,84,74,81
710,348,79,75,35,78,81
711,375,81,73,62,73,86
712,378,83,80,68,65,82
713,347,84,74,48,60,81
714,313,82,63,47,46,75
715,354,83,78,55,59,79
716,221,48,27,27,56,63
717,361,82,78,56,62,83
718,257,49,47,27,68,66
719,87,14,13,12,38,10
720,337,82,66,57,52,80
721,285,72,50,42,45,76
722,305,69,57,39,65,75
723,370,82,74,68,69,77
724,376,83,69,68,76,80
725,367,82,69,64,75,77
726,295,69,59,33,64,70
727,331,72,52,65,68,74
728,343,78,54,48,83,80
729,369,81,67,72,72,77
730,396,80,72,81,84,79
731,354,76,76,68,59,75
732,251,51,27,32,72,69
733,282,44,54,50,72,62
734,323,75,60,50,67,71
735,368,71,81,77,67,72
736,294,73,59,34,56,72
737,363,83,75,52,73,80
738,388,79,79,71,79,80
739,396,79,75,75,83,84
740,317,68,54,45,75,75
741,326,69,54,55,74,74
742,355,78,47,68,81,81
743,353,86,75,42,68,82
744,345,75,72,56,68,74
745,358,81,63,65,69,80
746,317,75,56,32,76,78
747,101,16,20,21,22,22
748,366,81,75,64,65,81
749,345,78,67,63,58,79
750,98,16,15,18,24,25
751,353,81,64,62,65,81
752,316,76,62,33,70,75
753,287,75,60,40,35,77
754,376,85,78,76,57,80
755,361,79,64,67,71,80
756,388,77,81,78,75,77
757,340,77,68,51,70,74
758,357,75,66,60,77,79
759,270,67,45,29,57,72
760,361,79,69,69,66,78
761,369,77,79,67,69,77
762,115,13,25,13,32,32
763,256,62,38,30,68,58
764,227,62,20,24,58,63
765,307,79,50,30,70,78
766,341,76,69,49,72,75
767,260,55,34,33,73,65
768,366,73,78,68,73,74
769,359,77,68,55,77,82
770,314,77,68,34,61,74
771,351,76,74,59,68,74
772,349,74,59,60,76,80
773,348,75,62,60,74,77
774,250,49,32,43,63,63
775,394,79,79,81,76,79
776,356,76,63,63,77,77
777,363,84,60,57,81,81
778,369,77,65,66,79,82
779,380,82,76,73,67,82
780,369,72,73,71,78,75
781,272,62,47,32,64,67
782,357,79,79,51,68,80
783,336,65,72,58,67,74
784,333,75,68,38,75,77
785,395,82,85,80,67,81
786,312,75,62,44,56,75
787,284,72,40,30,68,74
788,375,79,79,72,67,78
789,366,79,65,73,71,78
790,341,76,61,73,52,79
791,315,75,60,54,54,72
792,348,68,65,66,76,73
793,289,71,54,43,46,75
794,347,72,75,68,64,68
795,398,80,77,83,78,80
796,320,64,67,55,65,69
797,329,68,61,48,78,74
798,364,76,68,62,78,80
799,311,76,41,42,75,77
800,316,75,61,42,62,76
801,315,75,70,42,53,75
802,283,64,53,33,67,66
803,100,11,18,16,37,18
804,387,82,78,70,74,83
805,387,81,81,69,77,79
806,381,76,78,69,79,79
807,331,74,75,39,68,75
808,350,79,70,59,63,79
809,275,58,36,38,75,68
810,393,76,78,78,81,80
811,379,84,77,69,66,83
812,349,73,74,61,67,74
813,393,82,82,70,78,81
814,386,83,85,65,71,82
815,257,55,36,29,69,68
816,305,78,66,46,36,79
817,323,71,57,49,71,75
818,358,81,70,66,58,83
819,324,72,54,51,71,76
820,106,16,12,14,41,23
821,335,80,62,41,72,80
822,138,13,22,20,48,35
823,330,73,66,49,69,73
824,342,65,60,69,78,70
825,349,71,65,62,76,75
826,363,77,60,70,77,79
827,93,16,11,11,36,19
828,281,58,44,50,67,62
829,377,75,78,73,74,77
830,389,80,77,78,70,84
831,388,81,82,77,70,78
832,391,78,77,75,78,83
833,331,65,52,69,75,70
834,262,55,36,41,68,62
835,256,53,44,35,60,64
836,389,83,69,73,80,84
837,337,80,62,47,72,76
838,360,82,72,65,62,79
839,356,75,66,55,81,79
840,342,73,73,54,67,75
841,347,75,75,58,65,74
842,321,70,63,43,70,75
843,305,63,42,53,75,72
844,360,79,74,63,66,78
845,392,76,76,80,82,78
846,323,77,63,45,62,76
847,314,65,69,38,68,74
848,240,42,38,35,62,63
849,366,78,72,74,62,80
850,397,83,78,78,76,82
851,247,54,46,25,56,66
852,388,74,80,82,76,76
853,87,19,15,12,29,12
854,332,77,70,53,58,74
855,294,53,55,47,69,70
856,322,66,69,64,48,75
857,370,81,74,69,66,80
858,345,75,67,60,68,75
859,334,55,70,74,75,60
860,352,79,66,60,72,75
861,95,13,15,17,33,17
862,349,75,77,53,69,75
863,389,70,83,80,79,77
864,269,66,61,30,37,75
865,393,83,76,76,77,81
866,371,80,76,61,78,76
867,341,79,71,45,68,78
868,389,82,83,71,71,82
869,368,74,75,63,79,77
870,297,65,53,45,67,67
871,364,81,80,58,70,75
872,311,66,65,51,55,74
873,101,16,19,12,33,21
874,352,63,70,69,74,76
875,366,73,67,71,77,78
876,343,76,70,57,58,82
877,373,83,80,53,74,83
878,356,77,66,68,66,79
879,389,80,80,71,74,84
880,366,82,80,47,76,81
881,381,80,74,71,74,82
882,361,72,72,66,78,73
883,369,82,75,61,70,81
884,397,79,78,80,79,81
885,245,58,33,32,58,64
886,337,80,69,43,67,78
887,362,76,74,66,69,77
888,228,46,33,27,65,57
889,295,66,45,48,67,69
890,110,17,15,13,37,28
891,357,74,74,61,72,76
892,330,73,62,59,57,79
893,108,14,24,12,40,18
894,414,80,86,85,81,82
895,368,78,74,68,70,78
896,378,76,78,73,71,80
897,114,24,17,13,35,25
898,333,69,60,75,60,69
899,100,13,16,12,35,24
900,350,75,75,54,68,78
901,254,39,51,40,59,65
902,321,75,64,41,67,74
903,100,14,25,20,28,13
904,381,81,79,70,70,81
905,349,82,72,48,69,78
906,337,78,74,57,54,74
907,365,71,73,69,76,76
908,92,15,18,20,19,20
909,276,70,32,31,69,74
910,139,29,16,13,45,36
911,328,73,55,52,74,74
912,376,74,75,72,79,76
913,408,81,84,84,76,83
914,334,72,62,56,65,79
915,85,18,16,11,20,20
916,338,78,58,48,75,79
917,374,77,78,71,72,76
918,322,74,68,38,64,78
919,392,85,76,71,78,82
920,88,18,19,12,20,19
921,343,78,72,48,68,77
922,378,72,81,77,77,71
923,379,62,81,75,84,77
924,251,40,47,46,53,65
925,332,71,63,62,67,69
926,402,74,82,81,83,82
927,299,71,45,38,69,76
928,92,14,13,12,31,22
929,396,80,79,79,77,81
930,314,77,58,33,70,76
931,388,82,78,74,74,80
932,348,76,70,53,69,80
933,391,77,86,85,67,76
934,95,17,16,21,18,23
935,364,78,69,59,78,80
936,395,76,82,82,74,81
937,297,66,31,44,80,76
938,381,80,78,69,75,79
939,275,61,51,36,67,60
940,333,75,69,58,55,76
941,327,73,67,52,56,79
942,325,77,51,52,74,71
943,281,52,46,48,70,65
944,314,43,72,68,68,63
945,380,78,78,73,74,77
946,328,75,51,52,72,78
947,348,71,64,68,72,73
948,383,80,76,69,76,82
949,386,75,86,74,75,76
950,307,67,42,43,79,76
951,390,81,80,75,72,82
952,290,74,49,43,47,77
953,351,68,50,72,81,80
954,388,76,75,82,78,77
955,390,81,83,78,71,77
956,293,62,47,41,70,73
957,96,14,24,20,26,12
958,377,80,74,65,78,80
959,254,61,33,27,71,62
960,380,79,84,72,64,81
961,80,19,12,12,19,18
962,340,84,70,45,63,78
963,130,27,21,16,35,31
964,315,73,55,47,61,79
965,331,70,62,74,53,72
966,377,85,73,73,65,81
967,367,82,73,69,63,80
968,272,69,31,35,66,71
969,394,76,81,77,80,80
970,331,79,53,59,68,72
971,380,78,79,74,72,77
972,90,20,11,11,26,22
973,94,15,18,11,26,24
974,323,68,63,55,59,78
975,327,75,62,45,68,77
976,378,80,72,68,77,81
977,379,78,85,75,64,77
978,326,79,61,44,65,77
979,311,70,67,41,60,73
980,324,64,60,62,65,73
981,251,42,38,31,71,69
982,378,72,81,77,77,71
983,342,79,70,53,62,78
984,375,76,72,76,74,77
985,258,62,35,28,65,68
986,373,82,80,69,63,79
987,335,65,52,67,79,72
988,370,80,78,56,77,79
989,383,81,77,66,75,84
990,346,71,77,55,69,74
991,249,51,28,35,65,70
992,404,73,83,81,85,82
993,311,73,64,50,48,76
994,393,80,79,73,78,83
995,268,45,41,52,73,57
